αs,params,chi2/dof,ratios_list
0.11179,[ 3.09252 -0.94404 -0.39404],1.9420470788716,"{'μS_ratio': 0.769378681843291, 'μJ_ratio': 0.9997982636400442, 'νS_ratio': 0.5417165149242458, 'νJ_ratio': 0.5802476172615723, 'μH_ratio': 0.6382296585073757, 'bmax_ratio': 1.3061365729104861}"
0.11533,[ 3.0849  -0.7839  -0.25264],1.9747122204301462,"{'μS_ratio': 1.1820976712474804, 'μJ_ratio': 0.6350047130940587, 'νS_ratio': 0.6124242848167805, 'νJ_ratio': 0.6356910622863169, 'μH_ratio': 0.7742944649735388, 'bmax_ratio': 0.8464795573238325}"
0.11382,[ 3.07877 -0.88493 -0.40113],1.9483587955978652,"{'μS_ratio': 0.9884429489960702, 'μJ_ratio': 1.1452195245632684, 'νS_ratio': 1.3708142977772066, 'νJ_ratio': 1.119475580311243, 'μH_ratio': 0.7973853606872506, 'bmax_ratio': 0.7281507222020978}"
0.11732,[ 3.08519 -0.89237 -0.39293],1.939479976415551,"{'μS_ratio': 1.5851010879244218, 'μJ_ratio': 1.8331593665507753, 'νS_ratio': 0.8028106890985224, 'νJ_ratio': 0.5980798454306847, 'μH_ratio': 1.7309649473851283, 'bmax_ratio': 1.3732610350937542}"
0.1137,[ 3.07635 -0.8158  -0.31735],1.9409065166361315,"{'μS_ratio': 0.9476016194371973, 'μJ_ratio': 0.7084548876131297, 'νS_ratio': 0.7340354500441705, 'νJ_ratio': 0.5550948334901804, 'μH_ratio': 0.614376739656024, 'bmax_ratio': 0.7954787752434054}"
0.11828,[ 3.05257 -0.74212 -0.28052],1.9438944781960548,"{'μS_ratio': 1.5243572163485877, 'μJ_ratio': 0.8486411561231451, 'νS_ratio': 0.8050047484641227, 'νJ_ratio': 1.4186770914012294, 'μH_ratio': 1.651466698926399, 'bmax_ratio': 0.9341832570585812}"
0.11457,[ 3.08089 -0.8887  -0.38929],1.940866066783645,"{'μS_ratio': 1.151157578276829, 'μJ_ratio': 1.0565267509270737, 'νS_ratio': 1.1490896122991296, 'νJ_ratio': 1.4286438135657131, 'μH_ratio': 1.5576798723804695, 'bmax_ratio': 0.6811034516645682}"
0.11219,[ 3.06544 -0.79023 -0.29852],1.926186954186593,"{'μS_ratio': 0.6314617417059031, 'μJ_ratio': 0.6449761052876359, 'νS_ratio': 0.5039008115615217, 'νJ_ratio': 0.9578127532179572, 'μH_ratio': 0.5110564080484679, 'bmax_ratio': 1.4647269834974295}"
0.11276,[ 3.08592 -0.91536 -0.40027],1.9512534034334357,"{'μS_ratio': 0.8421542808664152, 'μJ_ratio': 1.2278695660109424, 'νS_ratio': 1.1201513264024805, 'νJ_ratio': 0.6508650392121745, 'μH_ratio': 1.5560916315696014, 'bmax_ratio': 1.154030971145533}"
0.11315,[ 3.07878 -0.86468 -0.36043],1.9559982288889723,"{'μS_ratio': 0.7725759441385267, 'μJ_ratio': 0.93062736946102, 'νS_ratio': 0.8015684638001559, 'νJ_ratio': 0.6503040039460132, 'μH_ratio': 0.8755260483127074, 'bmax_ratio': 1.2496565991249484}"
